mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K00753.01,297.00482,48.134129,19.89913995,1.7822,10829.0,14.6,0.868,5853.0,4.544,76.3,FALSE POSITIVE,kepler_koi
KEPLER,K00754.01,285.53461,48.28521,1.736952453,2.40641,8079.2,33.46,0.791,5805.0,4.564,505.6,FALSE POSITIVE,kepler_koi
KEPLER,K00755.01,288.75488,48.2262,2.525591777,1.6545,603.3,2.75,1.046,6031.0,4.438,40.9,CONFIRMED,kepler_koi
KEPLER,K00756.01,296.28613,48.22467,11.09432054,4.5945,1517.5,3.9,0.972,6046.0,4.486,66.5,CONFIRMED,kepler_koi
KEPLER,K00756.02,296.28613,48.22467,4.13443512,3.1402,686.0,2.77,0.972,6046.0,4.486,40.2,CONFIRMED,kepler_koi
KEPLER,K00115.03,287.88733,46.276241,3.43591631,3.133,23.2,0.55,1.087,5779.0,4.339,8.7,CANDIDATE,kepler_koi
KEPLER,K00756.03,296.28613,48.22467,2.56658897,2.429,226.5,1.59,0.972,6046.0,4.486,15.0,CONFIRMED,kepler_koi
KEPLER,K00834.01,287.89713,40.637821,23.65369415,8.2183,3341.8,7.89,1.384,5739.0,4.191,266.3,CONFIRMED,kepler_koi
KEPLER,K00834.02,287.89713,40.637821,13.23352214,6.7372,504.6,3.06,1.384,5739.0,4.191,49.1,CONFIRMED,kepler_koi
KEPLER,K00834.03,287.89713,40.637821,6.15560285,4.9843,285.0,2.32,1.384,5739.0,4.191,35.1,CONFIRMED,kepler_koi
KEPLER,K00834.04,287.89713,40.637821,2.090811305,3.388,115.9,1.62,1.384,5739.0,4.191,19.9,CONFIRMED,kepler_koi
KEPLER,K00834.05,287.89713,40.637821,50.4467417,7.159,370.3,2.67,1.384,5739.0,4.191,19.4,CONFIRMED,kepler_koi
KEPLER,K00119.01,294.55917,46.062328,49.18394185,11.3364,1646.2,8.2,2.057,5626.0,3.907,355.7,CONFIRMED,kepler_koi
KEPLER,K00835.01,294.20215,40.66341,11.76307164,2.9076,1037.3,2.35,0.756,4959.0,4.603,48.9,CONFIRMED,kepler_koi
KEPLER,K00899.03,296.98505,43.65852,15.36845737,2.4714,756.1,1.11,0.411,3561.0,4.855,30.9,CONFIRMED,kepler_koi
KEPLER,K00900.01,281.96063,43.70311,13.81020318,3.048,1309.7,4.56,1.142,5942.0,4.327,46.2,CONFIRMED,kepler_koi
KEPLER,K00901.01,285.16748,43.876339,12.732624065,2.2083,6465.7,4.87,0.541,3950.0,4.721,210.5,CANDIDATE,kepler_koi
KEPLER,K00902.01,287.85239,43.897991,83.92494032,6.7904,7958.7,4.78,0.509,3960.0,4.746,182.1,CANDIDATE,kepler_koi
KEPLER,K00903.01,295.53613,43.884449,5.007316661,4.2362,6932.3,6.96,0.827,5865.0,4.563,431.4,CONFIRMED,kepler_koi
KEPLER,K00126.01,297.47586,41.114288,33.80364366,11.4813,13494.4,20.7,1.796,5855.0,3.999,529.9,FALSE POSITIVE,kepler_koi
KEPLER,K00904.01,285.16833,44.026459,2.211116989,1.6485,724.2,1.85,0.646,4500.0,4.656,42.6,CONFIRMED,kepler_koi
KEPLER,K00961.02,292.21906,44.61916,0.453287416,0.4445,1461.5,0.76,0.148,3292.0,5.215,150.4,CONFIRMED,kepler_koi
KEPLER,K00961.03,292.21906,44.61916,1.865114193,0.4279,1124.8,0.66,0.148,3292.0,5.215,56.9,CONFIRMED,kepler_koi
KEPLER,K00964.01,288.49948,47.996471,3.273699006,3.07626,6862.8,22.36,2.493,10816.0,4.086,1293.1,FALSE POSITIVE,kepler_koi
KEPLER,K00965.01,290.11569,38.40419,7.047103499,3.3208,71318.0,51.86,1.035,5730.0,4.417,274.9,FALSE POSITIVE,kepler_koi
KEPLER,K00966.01,290.91119,38.335579,0.379463865,0.86896,1973.3,59.56,1.783,5075.0,3.892,458.6,FALSE POSITIVE,kepler_koi
KEPLER,K00967.01,281.66916,42.038639,9.88047978,2.78458,18541.0,23.6,0.917,6113.0,4.512,534.5,FALSE POSITIVE,kepler_koi
KEPLER,K00968.01,295.26682,38.61124,4.6484156,38.1939,128.4,5.06,3.482,6980.0,3.577,91.7,FALSE POSITIVE,kepler_koi
KEPLER,K01060.02,293.08463,41.135441,4.75796103,4.66,124.5,1.7,1.458,6021.0,4.093,20.9,CONFIRMED,kepler_koi
KEPLER,K01060.03,293.08463,41.135441,20.4972755,8.536,242.9,2.96,1.458,6021.0,4.093,22.8,CONFIRMED,kepler_koi
KEPLER,K01060.04,293.08463,41.135441,8.19345065,5.234,115.4,1.74,1.458,6021.0,4.093,15.7,CONFIRMED,kepler_koi
KEPLER,K01061.01,290.1315,41.3815,41.8059544,6.057,434.4,2.02,0.973,5907.0,4.445,28.3,CONFIRMED,kepler_koi
KEPLER,K01062.01,297.98123,41.44487,15.45158184,2.406,85.3,2.02,2.069,7839.0,4.08,21.0,FALSE POSITIVE,kepler_koi
KEPLER,K01063.01,299.0209,44.17276,89.698168533,5.5418,273106.0,102.08,1.583,6214.0,4.021,3420.3,FALSE POSITIVE,kepler_koi
KEPLER,K00143.01,290.10333,39.781631,22.65117451,3.6895,2250.0,7.62,1.333,6968.0,4.31,170.1,CANDIDATE,kepler_koi
KEPLER,K01126.02,297.75311,41.675991,475.91706,22.86,967.3,28.22,1.004,5334.0,4.372,15.3,FALSE POSITIVE,kepler_koi
KEPLER,K01127.01,290.21518,41.77597,5.32667299,3.4045,611.4,2.26,0.921,5831.0,4.517,34.1,CONFIRMED,kepler_koi
KEPLER,K01127.02,290.21518,41.77597,8.1280933,3.727,224.1,1.39,0.921,5831.0,4.517,10.7,CONFIRMED,kepler_koi
KEPLER,K00149.01,286.6301,38.945599,14.55730897,7.7643,956.9,4.32,1.412,5774.0,4.159,200.0,CONFIRMED,kepler_koi
KEPLER,K01127.03,290.21518,41.77597,2.83668931,3.031,166.1,1.19,0.921,5831.0,4.517,12.1,CANDIDATE,kepler_koi
KEPLER,K01128.01,291.43329,41.703442,0.974868896,1.6191,197.6,1.16,0.832,5487.0,4.563,82.6,CONFIRMED,kepler_koi
KEPLER,K01129.01,287.27264,41.635559,4.89721006,1.812,274.4,1.48,0.847,5093.0,4.483,16.9,CONFIRMED,kepler_koi
KEPLER,K01213.01,294.35049,38.602131,0.796722833,2.4551,107.1,1.44,1.334,5959.0,4.121,43.9,FALSE POSITIVE,kepler_koi
KEPLER,K01214.01,295.21664,38.77433,4.24153629,2.971,188.1,1.44,1.047,5776.0,4.34,18.0,CONFIRMED,kepler_koi
KEPLER,K00155.01,292.3215,43.881168,5.660669429,4.6483,737.8,3.24,1.173,5746.0,4.266,201.1,CONFIRMED,kepler_koi
KEPLER,K01215.01,286.58316,39.077202,17.32419108,8.045,241.3,3.14,1.857,5968.0,3.972,49.1,CONFIRMED,kepler_koi
KEPLER,K01215.02,286.58316,39.077202,33.0063185,7.118,278.1,3.13,1.857,5968.0,3.972,38.2,CONFIRMED,kepler_koi
KEPLER,K01216.01,288.1337,38.99688,11.13127159,4.2372,211.2,2.06,1.435,5800.0,4.202,36.8,CONFIRMED,kepler_koi
KEPLER,K01217.01,290.86142,38.641129,3.47143963,3.663,99.8,1.19,1.111,6341.0,4.409,27.5,FALSE POSITIVE,kepler_koi
KEPLER,K01297.01,296.14877,47.934872,1.031096352,2.781,265.4,2.36,1.072,6371.0,4.426,37.8,FALSE POSITIVE,kepler_koi
KEPLER,K01298.01,293.61371,47.839001,11.00817635,2.013,1462.5,2.15,0.582,4141.0,4.684,42.1,CONFIRMED,kepler_koi
KEPLER,K01298.02,293.61371,47.839001,92.7495777,5.506,1105.1,1.87,0.582,4141.0,4.684,18.0,CONFIRMED,kepler_koi
KEPLER,K01299.01,293.2822,48.2859,52.5008645,14.9066,946.7,12.41,4.157,4976.0,3.331,116.2,CONFIRMED,kepler_koi
KEPLER,K00158.01,298.77338,47.786469,5.80181368,4.119,269.6,4.52,2.097,6020.0,3.86,35.3,FALSE POSITIVE,kepler_koi
KEPLER,K01300.01,291.59409,48.44561,0.63133171,1.1487,434.5,1.2,0.53,4441.0,4.71,95.8,CONFIRMED,kepler_koi
